accessionVersion,lineage,sampleCollectionDate,geoLocCountry,geoLocAdmin1,authors,authorAffiliations,hostNameScientific,length,earliestReleaseDate,submissionId,groupName,dataUseTerms,dataUseTermsUrl,biosampleAccession,completeness,geoLocAdmin2,geoLocCity,insdcAccessionFull,insdcRawReadsAccession,isLabHost,specimenCollectorSampleId,totalAmbiguousNucs,totalUnknownNucs,parsed_date,year,subtype,group_count,sampling_weight
PP_0019ZYK.1,A.3.1.1,2010-12,China,NA,"Xia, Q.; Zhou, L.; Peng, C.; Hao, R.; Ni, K.; Zang, N.; Ren, L.; Deng, Y.; Xie, X.; He, L.; Tian, D.; Wang, L.; Huang, A.; Zhao, Y.; Zhao, X.; Fu, Z.; Tu, W.; Liu, E.","Children's Hospital of Chongqing Medical University, Department of Respiratory Medicine",Homo sapiens,1725,2012-11-20,JX682744.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11330049261083744,NA,NA,JX682744.1,NA,NA,CQ_Dec-2010/1146,0,0,2012-10-20T00:00:00Z,2012,RSV-A,51,0.14002800840280097
PP_003UQCU.1,A.D.2.2,2017-03-16,Israel,NA,"Porter, D. P.; Guo, Y.; Perry, J.; Gossage, D. L.; Watkins, T. R.; Chien, J. W.; Jordan, R.","Gilead Sciences, Inc., Clinical Virology",Homo sapiens,1716,2020-06-29,MT543815.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11270935960591132,NA,NA,MT543815.1,NA,NA,Subject0177_Day3_F,0,0,2017-03-16T00:00:00Z,2017,RSV-A,31,0.1796053020267749
PP_001QQ2Q.1,A.D.3,2021-09-07,Kuwait,NA,"Madi, N.","Kuwait University, Microbiology",Homo sapiens,15222,2024-01-31,PP151387.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,1,NA,NA,PP151387.1,NA,NA,KW/RSVA/49525,0,0,2021-09-07T00:00:00Z,2021,RSV-A,47,0.14586499149789456
PP_0030JHC.2,A.D,2013-11-29,Spain,Catalonia,"Pinana, Maria; Andres, Cristina; Gonzalez Sanchez, Alejandra; Prats, Ignasi; Garcia Comunas, Karen; Piquer, Maria; Dima, Elena; Martin, Maria Carmen; Pumarola, Tomas; Anton, Andres",Hospital Universitari Vall d'Hebron - Vall d'Hebron Institut de Recerca,NA,15194,2025-06-30,hRSV/A/Spain/CT-HUVH-177169/2013,"Respiratory Virus Unit, Hospital Universitari Vall d'Hebron, Barcelona, Spain",OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA118626927,0.9977668308702792,NA,NA,OZ280274.1,NA,NA,NA,0,0,2013-11-29T00:00:00Z,2013,RSV-A,3,0.5773502691896258
PP_003UXPY.2,A.D.1.9,2024-01-23,Slovakia,NA,NA,"Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava",Homo sapiens,15131,2024-04-12,OZ031647.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA115485110,0.9763546798029556,NA,NA,OZ031647.1,ERR12869445,NA,RNA,0,267,2024-01-23T00:00:00Z,2024,RSV-A,13,0.2773500981126146
PP_002XPYH.1,A.D.1.6,2025-04-26,USA,Minnesota,"Kunerth, H. D.; Plumb, M.; Namugenyi, S.; Evans, D.; Bohnkers-Voels, L.; Strain, A.","Minnesota Department of Health, Public Health Laboratory - Infectious Disease Lab",Homo sapiens,15044,2025-05-21,PV640338.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMN48454309,0.973136288998358,NA,NA,PV640338.1,SRR33542962,NA,MN-MDH-RSVA-03084,1,230,2025-04-26T00:00:00Z,2025,RSV-A,1265,0.028116077855776665
PP_001MQLT.2,A.D.1,2018,Taiwan,NA,"Lin, W. H.","Chang Gung Memorial Hospital, Pediatric Infections",Homo sapiens,1725,2023-06-11,MZ417755.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11330049261083744,NA,NA,MZ417755.1,NA,NA,TW/LH/02412/2018,0,0,2018-01-01T00:00:00Z,2018,RSV-A,27,0.19245008972987526
PP_001UR59.1,A.D,2014-12-02,Germany,NA,"Kondgen, S.; Reiche, J.",Robert Koch Institut,Homo sapiens,15249,2024-02-13,OR795348.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,1,NA,NA,OR795348.1,NA,NA,hRSV/A/Germany/15-00817/2014,0,0,2014-12-02T00:00:00Z,2014,RSV-A,12,0.2886751345948129
PP_001XC4J.1,A.D.3.1,2021-09-05,United Kingdom,Scotland,"Maloney, D. M.; Fernandes, G.; Jasim, S.; Dewar, R.; Templeton, K. E.","University of Edinburgh, Institute of Ecology and Evolution",Homo sapiens,15047,2024-09-25,PQ348803.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.939967159277504,NA,NA,PQ348803.1,NA,NA,RSVLO413,0,736,2021-09-05T00:00:00Z,2021,RSV-A,53,0.13736056394868904
PP_001JP23.1,A.D,2017-08-12,Thailand,NA,"Thongpan, I.","Chulalongkorn, Department of Pediatrics, Center of Excellence in Clinical Virology",Homo sapiens,15220,2019-03-13,MH447959.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.998095238095238,NA,NA,MH447959.1,NA,NA,TH/B23576/2017,0,0,2017-08-12T00:00:00Z,2017,RSV-A,2,0.7071067811865475
PP_001PMBB.1,A.D,2014-06-23,Argentina,Ciudad Autonoma de Buenos Aires,"Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.","Ricardo Gutierrez Children's Hospital, Virology Laboratory",Homo sapiens,15211,2023-02-11,ON237236.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9988834154351396,NA,NA,ON237236.1,NA,NA,HRSV/A/Argentina/BA-HNRG-058/2014,3,0,2014-06-23T00:00:00Z,2014,RSV-A,28,0.1889822365046136
PP_003UH89.1,A.D,2015-07-15,Singapore,NA,"Porter, D. P.; Guo, Y.; Perry, J.; Gossage, D. L.; Watkins, T. R.; Chien, J. W.; Jordan, R.","Gilead Sciences, Inc., Clinical Virology",Homo sapiens,1716,2020-06-29,MT543380.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11270935960591132,NA,NA,MT543380.1,NA,NA,Subject0019_Day5_F,0,0,2015-07-15T00:00:00Z,2015,RSV-A,2,0.7071067811865475
PP_001W3J0.1,A.D.1,2016,USA,"Philadelphia, PA","Musa, A. O.; Faber, S. R.; Lopez, C. B.","Washington University in St. Louis, Molecular Microbiology",Homo sapiens,15111,2024-03-31,PP525301.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9954679802955664,NA,NA,PP525301.1,NA,NA,b34,0,0,2016-01-01T00:00:00Z,2016,RSV-A,486,0.045360921162651446
PP_00463EM.2,A.D.1.6,2025-04-28,Australia,Northern Territory,"Dong, Xiaomin; Edwards, Steven; Deng, Yi Mo; Barr, Ian; Hirankitti, Arada; Dapat, Clyde",WHO Collaborating Centre for Reference and Research on Influenza,NA,15216,2025-09-24,hRSV/A/Australia/NT-RDH0172/2025,whoflu,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA120260275,0.9992775041050904,NA,Darwin,OZ333949.1,NA,NA,NA,0,0,2025-04-28T00:00:00Z,2025,RSV-A,131,0.0873704056661038
PP_004JH42.1,A.D.1,2018-02-23,Germany,NA,"Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas","Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf , Düsseldorf, Germany; Institute of Virology , University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Düsseldorf Health Authority (Gesundheitsamt Düsseldorf), Düsseldorf, Germany; Düsseldorf Health Authority (Gesundheitsamt Düsseldorf), Düsseldorf, Germany; Institute for Hygiene and Public Health, University Hospital Bonn, Bonn, Germany; Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Medical Microbiology and Hospital Hygiene, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany",Homo sapiens,14815,2026-02-10,hRSV/A/Germany/NRW-HHU-43/2018,Institute of Virology Düsseldorf,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA121347128,0.9730049261083744,NA,Düsseldorf,OZ411704.1,NA,NA,NA,0,0,2018-02-23T00:00:00Z,2018,RSV-A,26,0.19611613513818404
PP_001GYCD.2,A.D,2018-09-11,Japan,NA,"Tamura, T.; Saito, R.","Division of International Health; 1-757 Asahimachi dori, Niigata, Niigata 951-8510",Homo sapiens,15224,2025-05-02,LC871590.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,1,NA,NA,LC871590.1,NA,NA,HRSV/A/Japan/18U013iso/2018,0,0,2018-09-11T00:00:00Z,2018,RSV-A,33,0.17407765595569785
PP_001MQKV.2,A.D.5,2018,Taiwan,NA,"Lin, W. H.","Chang Gung Memorial Hospital, Pediatric Infections",Homo sapiens,1725,2023-06-11,MZ417754.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11330049261083744,NA,NA,MZ417754.1,NA,NA,TW/LH/01977/2018,0,0,2018-01-01T00:00:00Z,2018,RSV-A,27,0.19245008972987526
PP_003UXEH.2,A.D.1.6,2023-12-19,Slovakia,NA,NA,"Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava",Homo sapiens,15024,2024-04-04,OZ026675.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA115464440,0.984039408866995,NA,NA,OZ026675.1,ERR12828842,NA,RNA,0,44,2023-12-19T00:00:00Z,2023,RSV-A,6,0.4082482904638631
PP_004MM5Q.1,A.D.1.11,2025-10-08,Spain,Catalonia,"Andres, Cristina; Gonzalez Sanchez, Alejandra; Prats, Ignasi; Garcia Comunas, Karen; Vaz, Raquel; Martin, Maria Carmen; Larrosa, Nieves; Anton, Andres",Hospital Universitari Vall d'Hebron - Vall d'Hebron Institut de Recerca,Homo sapiens,15194,2026-03-04,hRSV/A/Spain/CT-HUVH-318564/2025,"Respiratory Virus Unit, Hospital Universitari Vall d'Hebron, Barcelona, Spain",OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA121925969,0.9978981937602628,NA,NA,NA,NA,NA,NA,0,0,2025-10-08T00:00:00Z,2025,RSV-A,167,0.07738232325341368
PP_001UEYZ.1,A.D.3,2018,China,NA,"Fu, Y.; Li, Q.; Li, F.; Huang, L.; Zhang, H.; Chen, X.; Xie, Z.","Laboratory of Infection and Virology, Beijing Pediatric Research Institute, Beijing Children's Hospital, Beijing Key Laboratory of Pediatric Respiratory Infectious Diseases",Homo sapiens,1725,2023-10-25,OR570320.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11330049261083744,NA,NA,OR570320.1,NA,NA,20180741/BJ/CHN/2018,0,0,2018-01-01T00:00:00Z,2018,RSV-A,80,0.11180339887498948
PP_004C2NT.1,A.3.1.1,2011-05-11,Hong Kong,NA,"Mak, G. C.; Tsang, A. K.; Lai, K. K.; Wong, V. K.; Li, X.; Lo, J. Y.; Mak, G. C. K.; Tsang, A. K. L.; Lai, K. K. S.; Wong, V. K. L.; Lo, J. Y. C.","Public Health Laboratory Centre, Microbiology Division",Homo sapiens,14833,2025-10-31,PX437399.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9742528735632184,NA,NA,PX437399.1,NA,NA,V11-2236318-Amp,0,0,2011-05-11T00:00:00Z,2011,RSV-A,10,0.31622776601683794
PP_001BGZW.2,A.D,2012-05-16,Peru,Lima,"Wentworth, D. E.; Halpin, R. A.; Bera, J.; Lin, X.; Fedorova, N.; Tsitrin, T.; McLellan, M.; Stockwell, T.; Amedeo, P.; Bishop, B.; Gupta, N.; Hoover, J.; Katzel, D.; Schobel, S.; Shrivastava, S.; Garcia, J.; Laguna-Torres, V. A.; Leguia, M.; Benavides, J. G.; Halsey, E.",J. Craig Venter Institute,Homo sapiens,15173,2014-04-07,KJ627264.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9965845648604268,NA,NA,KJ627264.1,NA,NA,RSVA/Homo sapiens/PER/IPE01270/2012,0,0,2012-05-16T00:00:00Z,2012,RSV-A,2,0.7071067811865475
PP_001VGEY.1,A.D.1,2019-05-24,Australia,NA,"Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.","UMC Utrecht, Paediatric Infectious Diseases",Homo sapiens,15226,2024-04-09,PP376424.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,1,NA,NA,PP376424.1,NA,NA,610102012,0,0,2019-05-24T00:00:00Z,2019,RSV-A,51,0.14002800840280097
PP_001QYXR.1,A.D.1,2020-03-02,Russia,NA,"Wilkins, D.; Langedijk, A. C.; Lebbink, R. J.; Morehouse, C. A.; Abram, M. E.; Ahani, B.; Aksyuk, A. A.; Baraldi, E.; Brady, T.; Chen, A. T.; Chi, H.; Choi, E. H.; Cohen, R.; Danilenko, D. M.; Gopalakrishnan, V.; Greenough, A.; Heikkinen, T.; Hosoya, M.; Keller, C.; Kelly, E. J.; Kragten-Tabatabaie, L.; Martinon-Torres, F.; Mascarenas-de Los Santos, A. H.; Nunes, M. C.; Palomino, M. A.; Papenburg, J.; Pernica, J. M.; Richmond, P.; Stein, R. T.; Tuffy, K. M.; Verwey, C.; Esser, M. T.; Tabor, D. E.; Bont, L. J.","Astrazeneca, Early Vaccines & Immune Therapies",Homo sapiens,1725,2023-03-05,OQ276024.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11330049261083744,NA,NA,OQ276024.1,NA,NA,70103015,0,0,2020-03-02T00:00:00Z,2020,RSV-A,44,0.15075567228888181
PP_004ENL7.1,A.D.3.7,2024-08-16,Sri Lanka,NA,"Dong, Xiaomin; Edwards, Steven; Deng, Yi Mo; Barr, Ian; Hirankitti, Arada; Dapat, Clyde",WHO Collaborating Centre for Reference and Research on Influenza,NA,2925,2025-12-17,hRSV/A/Sri_Lanka/MRISL0002/2024,whoflu,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA120869011,0.1921182266009852,NA,Colombo,OZ389100.1,NA,NA,NA,0,0,2024-08-16T00:00:00Z,2024,RSV-A,4,0.5
PP_001F5TB.2,A.3.1,2011-02-09,Jordan,Amman,"Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.",J. Craig Venter Institute,Homo sapiens,15100,2016-08-15,KX655650.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9965845648604268,NA,NA,KX655650.1,NA,NA,RSVA/Homo sapiens/JOR/C2147/2011,0,0,2011-02-09T00:00:00Z,2011,RSV-A,27,0.19245008972987526
PP_001Y2NP.1,A.D.5.2,2023-12-10,France,NA,"Fourati, S.; Rameix Welti, M.-A.","Hospital Henri Mondor - APHP, Department of Virology",Homo sapiens,15218,2024-12-18,PQ762878.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9998686371100164,NA,NA,PQ762878.1,NA,NA,031-0002,0,1,2023-12-10T00:00:00Z,2023,RSV-A,500,0.044721359549995794
PP_001S6Z9.1,A.D.1,2019-03-27,USA,Arizona,"Wilkins, D.; Langedijk, A. C.; Lebbink, R. J.; Morehouse, C. A.; Abram, M. E.; Ahani, B.; Aksyuk, A. A.; Baraldi, E.; Brady, T.; Chen, A. T.; Chi, H.; Choi, E. H.; Cohen, R.; Danilenko, D. M.; Gopalakrishnan, V.; Greenough, A.; Heikkinen, T.; Hosoya, M.; Keller, C.; Kelly, E. J.; Kragten-Tabatabaie, L.; Martinon-Torres, F.; Mascarenas-de Los Santos, A. H.; Nunes, M. C.; Palomino, M. A.; Papenburg, J.; Pernica, J. M.; Richmond, P.; Stein, R. T.; Tuffy, K. M.; Verwey, C.; Esser, M. T.; Tabor, D. E.; Bont, L. J.","Astrazeneca, Early Vaccines & Immune Therapies",Homo sapiens,1725,2023-03-05,OQ277446.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11330049261083744,NA,NA,OQ277446.1,NA,NA,8272_4_33,0,0,2019-03-27T00:00:00Z,2019,RSV-A,799,0.03537745688386125
PP_001Q628.1,A.D.5,2021-03-13,Kenya,Kilifi,"Lambisia, A. W.; Makori, T. O.; Mutunga, M.; Lewa, C.; Githinji, G.; Agoti, C. N.; Nokes, J. D.","KEMRI-Wellcome Trust, Kilifi, Kenya, Epidemiology and Demography",Homo sapiens,14779,2022-12-06,OP744435.2,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9693267651888342,NA,NA,OP744435.2,NA,NA,Kilifi/RSVA/HF20004_13/03/2021,0,21,2021-03-13T00:00:00Z,2021,RSV-A,36,0.16666666666666666
PP_001XRSU.1,A.D.5.2,2023-11-19,Panama,NA,"Franco, D.; Goya, S.; Martinez, A.; Moreno, B.; Valdespino, E.; Gaitan, M.; Gonzalez, C.; Moreno, A.; Capitan-Barrios, Z.; Carrera, J. P.; Lopez-Verges, S.; Pascale, J. M.; Das, S. R.; Arbiza, J.; Delfraro, A.; Abrego, L.","Gorgas Memorial Institute of Health Studies, Department of Research in Virology and Biotechnology",Homo sapiens,15190,2024-11-25,PQ618077.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9977668308702792,NA,NA,PQ618077.1,NA,NA,hRSV/A/Panama/ICGES-356/2023,0,0,2023-11-19T00:00:00Z,2023,RSV-A,10,0.31622776601683794
PP_001JJZD.1,A.D.4,2015-03-27,Kenya,NA,"Otieno, J. R.; Kamau, E. M.; Oketch, J. W.; Ngoi, J. M.; Gichuki, A. M.; Binter, S.; Otieno, G. P.; Ngama, M.; Agoti, C. N.; Cane, P. A.; Kellam, P.; Cotten, M.; Lemey, P.; Nokes, D. J.","KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department",Homo sapiens,14827,2018-09-28,MH182048.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.973793103448276,NA,NA,MH182048.1,NA,NA,KEN/KILIFI/WGS/1313_27/03/2015,0,0,2015-03-27T00:00:00Z,2015,RSV-A,26,0.19611613513818404
PP_001JKM2.1,A.D,2016-01-13,Iran,NA,"Salimi, V.; Shatizadeh Malekshahi, S.; Ghavami, N.; Mokhtari Azad, T.","Tehran University of Medical Sciences, Department of Virology",Homo sapiens,1725,2018-12-29,MH187290.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11330049261083744,NA,NA,MH187290.1,NA,NA,RSVs/Tehran.IRN/A/2.16/2 [ON1],0,0,2016-01-13T00:00:00Z,2016,RSV-A,25,0.2
PP_001UR91.1,A.D,2015-12-14,Germany,NA,"Kondgen, S.; Reiche, J.",Robert Koch Institut,Homo sapiens,15244,2024-02-13,OR795352.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,1,NA,NA,OR795352.1,NA,NA,hRSV/A/Germany/16-00842/2015,0,0,2015-12-14T00:00:00Z,2015,RSV-A,8,0.35355339059327373
PP_004D9JS.1,A.D.1.5,2025-05-17,USA,Minnesota,"Kunerth, H.; Plumb, M.; Evans, D.; Bohnkers-Voels, L.; Namugenyi, S.","Minnesota Department of Health, Public Health Laboratory - Infectious Disease Lab",Homo sapiens,15045,2025-11-22,PX496967.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMN53094829,0.9728735632183908,NA,NA,PX496967.1,SRR35957826,NA,MN-MDH-RSVA-03143,1,234,2025-05-17T00:00:00Z,2025,RSV-A,1265,0.028116077855776665
PP_001VC4N.1,A.D.1,2019-07-10,Brazil,NA,"Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.","UMC Utrecht, Paediatric Infectious Diseases",Homo sapiens,15207,2024-04-09,PP376278.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9988834154351396,NA,NA,PP376278.1,NA,NA,550102165,0,0,2019-07-10T00:00:00Z,2019,RSV-A,54,0.13608276348795434
PP_0046RQC.2,A.D.5.2,2024-11-18,Nepal,Kathmandu,"Dong, Xiaomin; Edwards, Steven; Deng, Yi Mo; Barr, Ian; Hirankitti, Arada; Dapat, Clyde",WHO Collaborating Centre for Reference and Research on Influenza,NA,15166,2025-09-24,hRSV/A/Nepal/NPHL0005/2024,whoflu,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA120260712,0.9961247947454844,NA,NA,OZ334747.1,NA,NA,NA,0,0,2024-11-18T00:00:00Z,2024,RSV-A,6,0.4082482904638631
PP_001Z4SB.1,A.D.3,2022-04-28,China,NA,"Yu, Y.; Yu, X.; Cao, F.; Zheng, X.; Ao, L.; Cheng, S.; Qiu, X.; Zhou, Y.; Li, J.","Hangzhou Center for Disease Control and Prevention (Hangzhou Health Supervision Institution), Department of Microbiology Laboratory",Homo sapiens,15224,2025-04-02,PV367325.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,1,NA,NA,PV367325.1,NA,NA,A-22S259,0,0,2022-04-28T00:00:00Z,2022,RSV-A,15,0.2581988897471611
PP_001S715.1,A.D.2.2,2019-03-11,USA,Arizona,"Wilkins, D.; Langedijk, A. C.; Lebbink, R. J.; Morehouse, C. A.; Abram, M. E.; Ahani, B.; Aksyuk, A. A.; Baraldi, E.; Brady, T.; Chen, A. T.; Chi, H.; Choi, E. H.; Cohen, R.; Danilenko, D. M.; Gopalakrishnan, V.; Greenough, A.; Heikkinen, T.; Hosoya, M.; Keller, C.; Kelly, E. J.; Kragten-Tabatabaie, L.; Martinon-Torres, F.; Mascarenas-de Los Santos, A. H.; Nunes, M. C.; Palomino, M. A.; Papenburg, J.; Pernica, J. M.; Richmond, P.; Stein, R. T.; Tuffy, K. M.; Verwey, C.; Esser, M. T.; Tabor, D. E.; Bont, L. J.","Astrazeneca, Early Vaccines & Immune Therapies",Homo sapiens,1725,2023-03-05,OQ277448.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11330049261083744,NA,NA,OQ277448.1,NA,NA,8272_4_40,0,0,2019-03-11T00:00:00Z,2019,RSV-A,799,0.03537745688386125
PP_001NFWE.1,A.D.2.2,2018-09-02,Finland,NA,"Tabor, D. E.; Fernandes, F.; Langedijk, A. C.; Wilkins, D.; Lebbink, R. J.; Tovchigrechko, A.; Ruzin, A.; Kragten-Tabatabaie, L.; Jin, H.; Esser, M. T.; Bont, L. J.; Abram, M. E.; Tabor, D.","AstraZeneca, Microbial Sciences",Homo sapiens,2503,2021-10-30,OK299888.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.16453201970443349,NA,NA,OK299888.1,NA,NA,358101028,0,0,2018-09-02T00:00:00Z,2018,RSV-A,24,0.20412414523193154
PP_002XG2H.1,A.D.1.10,2023-12,Switzerland,Basel-Stadt,"Gosert, Rainer; Leuzinger, Karoline; Kuznetsov, Alexander; Neher, Richard","Clinical Virology, Laboratory Medicine, University Hospital Basel, Basel, Switzerland; Clinical Virology, Laboratory Medicine, University Hospital Basel, Basel, Switzerland, Transplantation and Clinical Virology, Department of Biomedicine, University of Basel, Basel, Switzerland; Biozentrum, University of Basel, Basel, Switzerland; Biozentrum, University of Basel, Basel, Switzerland",Homo sapiens,15221,2025-05-26,CCLJQG1NMN,"Clinical Virology, Basel",OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA118594052,0.9998029556650246,NA,Basel,OZ277656.1,NA,FALSE,NA,0,2,2023-12-01T00:00:00Z,2023,RSV-A,108,0.09622504486493763
PP_001VXL4.1,A.D.5.4,2023-10-28,USA,Minnesota,"Kunerth, H. D.; Plumb, M.; Namugenyi, S.; Evans, D.; Wang, X.","Minnesota Department of Health, Public Health Laboratory - Infectious Disease Lab",Homo sapiens,15046,2024-03-02,PP386353.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMN39746781,0.9220361247947456,NA,NA,PP386353.1,SRR27844299,NA,MN-MDH-RSVA-00142,0,1009,2023-10-28T00:00:00Z,2023,RSV-A,653,0.03913302400974161
PP_001ZDWU.1,A.D.3.11,2025-03-01,USA,Minnesota,"Kunerth, H. D.; Plumb, M.; Namugenyi, S.; Evans, D.; Bohnkers-Voels, L.; Strain, A.","Minnesota Department of Health, Public Health Laboratory - Infectious Disease Lab",Homo sapiens,15050,2025-04-08,PV423084.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMN47641746,0.934055829228243,NA,NA,PV423084.1,SRR32925709,NA,MN-MDH-RSVA-02375,1,825,2025-03-01T00:00:00Z,2025,RSV-A,1265,0.028116077855776665
PP_001V1DF.1,A.D.1,2017-09-11,Australia,NA,"Steinig JOACHIM, E.","VIDRL, Translational Diagnostics, 792 Elizabeth St, Melbourne VIC 3004",Homo sapiens,15277,2023-11-06,OY757821.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA114578746,1,NA,NA,OY757821.1,NA,NA,DW-RAT-067,0,0,2017-09-11T00:00:00Z,2017,RSV-A,42,0.1543033499620919
